Genome	Permutation	Clusters
254	2	Perm10	669410
255	3	Perm10	736707
256	4	Perm10	789204
257	5	Perm10	820860
258	6	Perm10	844050
259	7	Perm10	873188
260	8	Perm10	941511
261	9	Perm10	961904
262	10	Perm10	979590
263	11	Perm10	986707
264	12	Perm10	1005392
265	13	Perm10	1012010
266	14	Perm10	1025165
267	15	Perm10	1027845
268	16	Perm10	1029666
269	17	Perm10	1030170
270	18	Perm10	1031790
271	19	Perm10	1102787
272	20	Perm10	1111963
273	21	Perm10	1112991
274	22	Perm10	1119253
275	23	Perm10	1144163
276	24	Perm10	1154027
277	25	Perm10	1161033
278	26	Perm10	1165917
279	27	Perm10	1172381
280	28	Perm10	1177920
281	1	Perm11	251190
282	2	Perm11	593622
283	3	Perm11	670490
284	4	Perm11	747944
285	5	Perm11	782712
286	6	Perm11	807622
287	7	Perm11	830528
288	8	Perm11	871940
289	9	Perm11	933687
290	10	Perm11	946949
291	11	Perm11	954724
292	12	Perm11	967020
293	13	Perm11	1007978
294	14	Perm11	1085203
295	15	Perm11	1094112
296	16	Perm11	1104302
297	17	Perm11	1110380
298	18	Perm11	1135850
299	19	Perm11	1145565
300	20	Perm11	1152720
301	21	Perm11	1156659
302	22	Perm11	1162671
303	23	Perm11	1166177
304	24	Perm11	1173472
305	25	Perm11	1175138
306	26	Perm11	1176381
307	27	Perm11	1176725
308	28	Perm11	1177920
309	1	Perm12	505300
310	2	Perm12	598633
311	3	Perm12	653117
312	4	Perm12	736917
313	5	Perm12	819307
314	6	Perm12	837296
315	7	Perm12	870653
316	8	Perm12	893977
317	9	Perm12	909670
318	10	Perm12	920890
319	11	Perm12	934274
320	12	Perm12	939688
321	13	Perm12	1017357
322	14	Perm12	1022498
323	15	Perm12	1024717
324	16	Perm12	1030399
325	17	Perm12	1047587
326	18	Perm12	1060755
327	19	Perm12	1062314
328	20	Perm12	1087021
329	21	Perm12	1102665
330	22	Perm12	1111237
331	23	Perm12	1112397
332	24	Perm12	1156923
333	25	Perm12	1161529
334	26	Perm12	1168878
335	27	Perm12	1174745
336	28	Perm12	1177920
337	1	Perm13	505300
338	2	Perm13	596782
339	3	Perm13	686795
340	4	Perm13	741431
341	5	Perm13	808686
