Genome	Permutation	Clusters
266	5	Perm10	23307
267	6	Perm10	23953
268	7	Perm10	24529
269	8	Perm10	25137
270	9	Perm10	25653
271	10	Perm10	26016
272	11	Perm10	26334
273	12	Perm10	26647
274	13	Perm10	26869
275	14	Perm10	27032
276	15	Perm10	27181
277	16	Perm10	27414
278	17	Perm10	27581
279	18	Perm10	27810
280	19	Perm10	27938
281	20	Perm10	28179
282	21	Perm10	28322
283	22	Perm10	28474
284	23	Perm10	28603
285	24	Perm10	28725
286	25	Perm10	29345
287	26	Perm10	29440
288	27	Perm10	29511
289	28	Perm10	29665
290	29	Perm10	29897
291	1	Perm11	16260
292	2	Perm11	19268
293	3	Perm11	20747
294	4	Perm11	21581
295	5	Perm11	22608
296	6	Perm11	23175
297	7	Perm11	23772
298	8	Perm11	24142
299	9	Perm11	24649
300	10	Perm11	25850
301	11	Perm11	26155
302	12	Perm11	26454
303	13	Perm11	26705
304	14	Perm11	26862
305	15	Perm11	27066
306	16	Perm11	27221
307	17	Perm11	27469
308	18	Perm11	27676
309	19	Perm11	27880
310	20	Perm11	28031
311	21	Perm11	28137
312	22	Perm11	28239
313	23	Perm11	28507
314	24	Perm11	28650
315	25	Perm11	28762
316	26	Perm11	29439
317	27	Perm11	29700
318	28	Perm11	29793
319	29	Perm11	29897
320	1	Perm12	15484
321	2	Perm12	18323
322	3	Perm12	19776
323	4	Perm12	20579
324	5	Perm12	21070
325	6	Perm12	21706
326	7	Perm12	22000
327	8	Perm12	23347
328	9	Perm12	23574
329	10	Perm12	24318
330	11	Perm12	24774
331	12	Perm12	25087
332	13	Perm12	26257
333	14	Perm12	26755
334	15	Perm12	26990
335	16	Perm12	27131
336	17	Perm12	27403
337	18	Perm12	27659
338	19	Perm12	27903
339	20	Perm12	28078
340	21	Perm12	28364
341	22	Perm12	28485
342	23	Perm12	29175
343	24	Perm12	29274
344	25	Perm12	29436
345	26	Perm12	29605
346	27	Perm12	29711
347	28	Perm12	29780
348	29	Perm12	29897
349	1	Perm13	16143
350	2	Perm13	18892
351	3	Perm13	20717
352	4	Perm13	21822
353	5	Perm13	22625
354	6	Perm13	23077
355	7	Perm13	23360
356	8	Perm13	24064
357	9	Perm13	24586
358	10	Perm13	24992
359	11	Perm13	25262
360	12	Perm13	25461
361	13	Perm13	25794
362	14	Perm13	26094
363	15	Perm13	26268
364	16	Perm13	26544
365	17	Perm13	26742
366	18	Perm13	26949
367	19	Perm13	27101
368	20	Perm13	27393
369	21	Perm13	27554
370	22	Perm13	27692
371	23	Perm13	27795
372	24	Perm13	28858
373	25	Perm13	28955
374	26	Perm13	29079
375	27	Perm13	29169
376	28	Perm13	29289
377	29	Perm13	29897
378	1	Perm14	16047
379	2	Perm14	18545
380	3	Perm14	20240
381	4	Perm14	21336
382	5	Perm14	22164
383	6	Perm14	23588
384	7	Perm14	24554
385	8	Perm14	25325
386	9	Perm14	25775
387	10	Perm14	26125
388	11	Perm14	26345
389	12	Perm14	26645
390	13	Perm14	27090
391	14	Perm14	27450
392	15	Perm14	27623
393	16	Perm14	27753
394	17	Perm14	27994
395	18	Perm14	28115
396	19	Perm14	28386
397	20	Perm14	28615
398	21	Perm14	28782
399	22	Perm14	28951
400	23	Perm14	29055
401	24	Perm14	29185
402	25	Perm14	29343
403	26	Perm14	29426
404	27	Perm14	29689
405	28	Perm14	29804
406	29	Perm14	29897
407	1	Perm15	16092
408	2	Perm15	18874
409	3	Perm15	20419
410	4	Perm15	21202
411	5	Perm15	22877
412	6	Perm15	23489
413	7	Perm15	24418
414	8	Perm15	25040
415	9	Perm15	25426
416	10	Perm15	25785
417	11	Perm15	26194
418	12	Perm15	26578
419	13	Perm15	26741
420	14	Perm15	26934
421	15	Perm15	27115
422	16	Perm15	27388
423	17	Perm15	27522
424	18	Perm15	27689
425	19	Perm15	28327
426	20	Perm15	28441
427	21	Perm15	28691
428	22	Perm15	28855
429	23	Perm15	29028
430	24	Perm15	29306
431	25	Perm15	29398
432	26	Perm15	29562
433	27	Perm15	29694
434	28	Perm15	29802
435	29	Perm15	29897
436	1	Perm16	16157
437	2	Perm16	18197
438	3	Perm16	20393
439	4	Perm16	21509
440	5	Perm16	23171
441	6	Perm16	23819
442	7	Perm16	24179
443	8	Perm16	24824
444	9	Perm16	25464
445	10	Perm16	25902
446	11	Perm16	26292
447	12	Perm16	26615
448	13	Perm16	26836
449	14	Perm16	27151
450	15	Perm16	27824
451	16	Perm16	27990
452	17	Perm16	28229
453	18	Perm16	28438
454	19	Perm16	28612
455	20	Perm16	28762
456	21	Perm16	28940
457	22	Perm16	29045
458	23	Perm16	29164
459	24	Perm16	29310
460	25	Perm16	29417
461	26	Perm16	29502
462	27	Perm16	29661
463	28	Perm16	29790
464	29	Perm16	29897
465	1	Perm17	16092
466	2	Perm17	18850
467	3	Perm17	20705
468	4	Perm17	21647
469	5	Perm17	22516
470	6	Perm17	23075
471	7	Perm17	23383
472	8	Perm17	24782
473	9	Perm17	25235
474	10	Perm17	25697
475	11	Perm17	26051
476	12	Perm17	26413
477	13	Perm17	27099
478	14	Perm17	27446
479	15	Perm17	27710
480	16	Perm17	27922
481	17	Perm17	28052
482	18	Perm17	28305
483	19	Perm17	28456
484	20	Perm17	28630
485	21	Perm17	28752
486	22	Perm17	28881
487	23	Perm17	29095
488	24	Perm17	29209
489	25	Perm17	29334
490	26	Perm17	29420
491	27	Perm17	29534
492	28	Perm17	29793
493	29	Perm17	29897
494	1	Perm18	16136
495	2	Perm18	19227
496	3	Perm18	20487
497	4	Perm18	21247
498	5	Perm18	21992
499	6	Perm18	22489
500	7	Perm18	22971
501	8	Perm18	23164
502	9	Perm18	24005
503	10	Perm18	24231
504	11	Perm18	24853
505	12	Perm18	26127
506	13	Perm18	26446
507	14	Perm18	26840
508	15	Perm18	27510
509	16	Perm18	27700
510	17	Perm18	27867
511	18	Perm18	27978
512	19	Perm18	28218
513	20	Perm18	28384
514	21	Perm18	28563
515	22	Perm18	28758
516	23	Perm18	28921
517	24	Perm18	29042
518	25	Perm18	29167
519	26	Perm18	29350
520	27	Perm18	29474
521	28	Perm18	29751
522	29	Perm18	29897
523	1	Perm19	16143
524	2	Perm19	18499
525	3	Perm19	19893
526	4	Perm19	20572
527	5	Perm19	22063
528	6	Perm19	23576
529	7	Perm19	24339
530	8	Perm19	24872
531	9	Perm19	25333
532	10	Perm19	25665
533	11	Perm19	25915
534	12	Perm19	26384
535	13	Perm19	26638
536	14	Perm19	26818
537	15	Perm19	27064
538	16	Perm19	27382
539	17	Perm19	27516
540	18	Perm19	27710
541	19	Perm19	27929
542	20	Perm19	28079
543	21	Perm19	28168
544	22	Perm19	28309
545	23	Perm19	28607
546	24	Perm19	29229
547	25	Perm19	29368
548	26	Perm19	29536
549	27	Perm19	29658
550	28	Perm19	29793
551	29	Perm19	29897
552	1	Perm20	16482
553	2	Perm20	18932
554	3	Perm20	21187
555	4	Perm20	22449
556	5	Perm20	23319
557	6	Perm20	24031
558	7	Perm20	24460
559	8	Perm20	24979
560	9	Perm20	25189
561	10	Perm20	25773
562	11	Perm20	26162
563	12	Perm20	26566
564	13	Perm20	26815
565	14	Perm20	27180
566	15	Perm20	27410
567	16	Perm20	27577
568	17	Perm20	27783
569	18	Perm20	28431
570	19	Perm20	28588
571	20	Perm20	28775
572	21	Perm20	28968
573	22	Perm20	29081
574	23	Perm20	29234
575	24	Perm20	29368
576	25	Perm20	29465
577	26	Perm20	29612
578	27	Perm20	29719
579	28	Perm20	29809
580	29	Perm20	29897
581	1	Perm21	15966
582	2	Perm21	19219
583	3	Perm21	20639
584	4	Perm21	21824
585	5	Perm21	22567
586	6	Perm21	23134
587	7	Perm21	24551
588	8	Perm21	25050
589	9	Perm21	25492
590	10	Perm21	25905
591	11	Perm21	26288
592	12	Perm21	26528
593	13	Perm21	26833
594	14	Perm21	26997
595	15	Perm21	27132
596	16	Perm21	27357
597	17	Perm21	27480
598	18	Perm21	27682
599	19	Perm21	27988
600	20	Perm21	28131
601	21	Perm21	28315
602	22	Perm21	28481
603	23	Perm21	28610
604	24	Perm21	28878
605	25	Perm21	28978
606	26	Perm21	29070
607	27	Perm21	29684
608	28	Perm21	29779
609	29	Perm21	29897
610	1	Perm22	16084
611	2	Perm22	17932
612	3	Perm22	19664
613	4	Perm22	20650
614	5	Perm22	22492
615	6	Perm22	23752
616	7	Perm22	24563
617	8	Perm22	25082
618	9	Perm22	25577
619	10	Perm22	25795
620	11	Perm22	26521
621	12	Perm22	26816
